"ID"	"read"	"sum_len"	"num_seqs"	"min_len"	"avg_len"	"max_len"
"85"	"SRR19918678"	"forward"	154010032	637795	35	241.5	251
"86"	"SRR19918678"	"reverse"	154289383	637795	35	241.9	251
"87"	"SRR19937264"	"forward"	279627684	1289636	35	216.8	251
"88"	"SRR19937264"	"reverse"	280528450	1289636	35	217.5	251
"89"	"SRR19963717"	"forward"	86027560	371701	35	231.4	251
"90"	"SRR19963717"	"reverse"	86101223	371701	35	231.6	251
"91"	"SRR19976747"	"forward"	134754196	563540	35	239.1	251
"92"	"SRR19976747"	"reverse"	135030366	563540	35	239.6	251
"93"	"SRR19976752"	"forward"	115499368	487387	35	237	251
"94"	"SRR19976752"	"reverse"	115708617	487387	35	237.4	251
"95"	"SRR19981380"	"forward"	97380132	402743	35	241.8	251
"96"	"SRR19981380"	"reverse"	97435129	402743	35	241.9	251
"97"	"SRR20081432"	"forward"	112165887	470686	35	238.3	251
"98"	"SRR20081432"	"reverse"	111819887	470686	35	237.6	251
"99"	"SRR20081443"	"forward"	131445273	540511	35	243.2	251
"100"	"SRR20081443"	"reverse"	131243344	540511	35	242.8	251
"101"	"SRR20097108"	"forward"	133838414	545870	35	245.2	251
"102"	"SRR20097108"	"reverse"	133866254	545870	35	245.2	251
"103"	"SRR20097124"	"forward"	173803046	728659	35	238.5	251
"104"	"SRR20097124"	"reverse"	173929012	728659	35	238.7	251
"105"	"SRR20210775"	"forward"	203656375	841506	35	242	251
"106"	"SRR20210775"	"reverse"	203797512	841506	35	242.2	251
"107"	"SRR20220031"	"forward"	163600455	675750	35	242.1	251
"108"	"SRR20220031"	"reverse"	163707139	675750	35	242.3	251
"109"	"SRR20289200"	"forward"	205907219	840035	35	245.1	251
"110"	"SRR20289200"	"reverse"	205945520	840035	35	245.2	251
"111"	"SRR2043689"	"forward"	97891349	419856	35	233.2	251
"112"	"SRR2043689"	"reverse"	97985472	419856	35	233.4	251
"113"	"SRR2043690"	"forward"	142064226	759842	35	187	251
"114"	"SRR2043690"	"reverse"	142579057	759842	35	187.6	251
"115"	"SRR20634176"	"forward"	111584853	764432	35	146	151
"116"	"SRR20634176"	"reverse"	111640222	764432	35	146	151
"117"	"SRR20711048"	"forward"	136428680	481489	35	283.3	301
"118"	"SRR20711048"	"reverse"	136421110	481489	35	283.3	301
"119"	"SRR20711486"	"forward"	285926661	1173437	35	243.7	251
"120"	"SRR20711486"	"reverse"	286084593	1173437	35	243.8	251
"121"	"SRR20751627"	"forward"	97845134	659244	35	148.4	151
"122"	"SRR20751627"	"reverse"	97851266	659244	35	148.4	151
"123"	"SRR20986736"	"forward"	139303663	583440	35	238.8	251
"124"	"SRR20986736"	"reverse"	139457958	583440	35	239	251
"125"	"SRR20993087"	"forward"	306323185	1285721	35	238.3	251
"126"	"SRR20993087"	"reverse"	306524204	1285721	35	238.4	251
"127"	"SRR21133213"	"forward"	170487523	704051	35	242.2	251
"128"	"SRR21133213"	"reverse"	170568448	704051	35	242.3	251
"129"	"SRR21161021"	"forward"	277422763	1142396	35	242.8	251
"130"	"SRR21161021"	"reverse"	277750792	1142396	35	243.1	251
"131"	"SRR21202331"	"forward"	268431775	1133201	35	236.9	251
"132"	"SRR21202331"	"reverse"	268590465	1133201	35	237	251
"133"	"SRR21205546"	"forward"	219553513	913433	35	240.4	251
"134"	"SRR21205546"	"reverse"	219904565	913433	35	240.7	251
"135"	"SRR21224526"	"forward"	94642961	406951	35	232.6	251
"136"	"SRR21224526"	"reverse"	94714274	406951	35	232.7	251
"137"	"SRR21232321"	"forward"	437555479	1830661	35	239	251
"138"	"SRR21232321"	"reverse"	437914558	1830661	35	239.2	251
"139"	"SRR21354894"	"forward"	176460565	748254	35	235.8	251
"140"	"SRR21354894"	"reverse"	176469821	748254	35	235.8	251
"141"	"SRR21440793"	"forward"	227174675	942647	35	241	251
"142"	"SRR21440793"	"reverse"	227277935	942647	35	241.1	251
"143"	"SRR21486717"	"forward"	97833092	425166	35	230.1	251
"144"	"SRR21486717"	"reverse"	97952732	425166	35	230.4	251
"145"	"SRR21503337"	"forward"	197282845	820871	35	240.3	251
"146"	"SRR21503337"	"reverse"	197326693	820871	35	240.4	251
"147"	"SRR2968111"	"forward"	262388213	1083916	35	242.1	251
"148"	"SRR2968111"	"reverse"	262670667	1083916	35	242.3	251
"149"	"SRR2968112"	"forward"	158318227	667522	35	237.2	251
"150"	"SRR2968112"	"reverse"	158644466	667522	35	237.7	251
"151"	"SRR2968113"	"forward"	369464074	1554687	35	237.6	251
"152"	"SRR2968113"	"reverse"	370124684	1554687	35	238.1	251
"153"	"SRR2968114"	"forward"	212684517	882394	35	241	251
"154"	"SRR2968114"	"reverse"	213152542	882394	35	241.6	251
